,page_no,surah_no,start_ayah_no
0,1,1,1
1,2,2,1
2,3,2,5
3,4,2,17
4,5,2,25
5,6,2,31
6,7,2,40
7,8,2,51
8,9,2,59
9,10,2,65
10,11,2,74
11,12,2,82
12,13,2,87
13,14,2,93
14,15,2,102
15,16,2,109
16,17,2,115
17,18,2,124
18,19,2,131
19,20,2,139
20,21,2,144
21,22,2,151
22,23,2,162
23,24,2,169
24,25,2,177
25,26,2,183
26,27,2,187
27,28,2,194
28,29,2,198
29,30,2,208
30,31,2,214
31,32,2,219
32,33,2,225
33,34,2,231
34,35,2,234
35,36,2,239
36,37,2,246
37,38,2,251
38,39,2,255
39,40,2,259
40,41,2,265
41,42,2,271
42,43,2,277
43,44,2,282
44,45,2,286
45,46,3,7
46,47,3,15
47,48,3,23
48,49,3,31
49,50,3,39
50,51,3,49
51,52,3,56
52,53,3,66
53,54,3,75
54,55,3,81
55,56,3,91
56,57,3,100
57,58,3,108
58,59,3,116
59,60,3,124
60,61,3,135
61,62,3,144
62,63,3,152
63,64,3,156
64,65,3,164
65,66,3,173
66,67,3,180
67,68,3,187
68,69,3,195
69,70,4,2
70,71,4,9
71,72,4,12
72,73,4,19
73,74,4,24
74,75,4,29
75,76,4,35
76,77,4,43
77,78,4,49
78,79,4,58
79,80,4,65
80,81,4,75
81,82,4,79
82,83,4,87
83,84,4,92
84,85,4,97
85,86,4,102
86,87,4,110
87,88,4,119
88,89,4,127
89,90,4,135
90,91,4,141
91,92,4,149
92,93,4,157
93,94,4,164
94,95,4,171
95,96,5,1
96,97,5,4
97,98,5,7
98,99,5,13
99,100,5,18
100,101,5,26
101,102,5,33
102,103,5,41
103,104,5,45
104,105,5,50
105,106,5,57
106,107,5,64
107,108,5,70
108,109,5,78
109,110,5,86
110,111,5,93
111,112,5,99
112,113,5,106
113,114,5,110
114,115,5,117
115,116,6,6
116,117,6,14
117,118,6,25
118,119,6,33
119,120,6,42
120,121,6,51
121,122,6,59
122,123,6,68
123,124,6,73
124,125,6,83
125,126,6,91
126,127,6,96
127,128,6,104
128,129,6,112
129,130,6,121
130,131,6,128
131,132,6,137
132,133,6,143
133,134,6,148
134,135,6,154
135,136,6,161
136,137,7,5
137,138,7,18
138,139,7,27
139,140,7,33
140,141,7,40
141,142,7,47
142,143,7,54
143,144,7,63
144,145,7,73
145,146,7,81
146,147,7,89
147,148,7,99
148,149,7,111
149,150,7,127
150,151,7,136
151,152,7,143
152,153,7,149
153,154,7,156
154,155,7,160
155,156,7,167
156,157,7,174
157,158,7,184
158,159,7,192
159,160,7,203
160,161,8,5
161,162,8,14
162,163,8,25
163,164,8,34
164,165,8,41
165,166,8,48
166,167,8,58
167,168,8,66
168,169,8,73
169,170,9,5
170,171,9,13
171,172,9,20
172,173,9,28
173,174,9,34
174,175,9,40
175,176,9,47
176,177,9,56
177,178,9,64
178,179,9,70
179,180,9,77
180,181,9,85
181,182,9,93
182,183,9,100
183,184,9,107
184,185,9,113
185,186,9,120
186,187,9,128
187,188,10,5
188,189,10,14
189,190,10,21
190,191,10,27
191,192,10,35
192,193,10,45
193,194,10,55
194,195,10,66
195,196,10,74
196,197,10,84
197,198,10,93
198,199,10,103
199,200,11,2
200,201,11,10
201,202,11,18
202,203,11,27
203,204,11,37
204,205,11,45
205,206,11,54
206,207,11,63
207,208,11,73
208,209,11,84
209,210,11,92
210,211,11,103
211,212,11,113
212,213,12,1
213,214,12,10
214,215,12,21
215,216,12,29
216,217,12,37
217,218,12,43
218,219,12,53
219,220,12,64
220,221,12,72
221,222,12,80
222,223,12,90
223,224,12,100
224,225,12,110
225,226,13,4
226,227,13,12
227,228,13,17
228,229,13,26
229,230,13,33
230,231,13,41
231,232,14,5
232,233,14,11
233,234,14,21
234,235,14,29
235,236,14,38
236,237,14,49
237,238,15,12
238,239,15,28
239,240,15,48
240,241,15,68
241,242,15,89
242,243,16,6
243,244,16,18
244,245,16,29
245,246,16,36
246,247,16,48
247,248,16,61
248,249,16,69
249,250,16,76
250,251,16,85
251,252,16,92
252,253,16,103
253,254,16,112
254,255,16,123
255,256,17,4
256,257,17,13
257,258,17,24
258,259,17,35
259,260,17,46
260,261,17,56
261,262,17,64
262,263,17,73
263,264,17,85
264,265,17,96
265,266,17,105
266,267,18,3
267,268,18,16
268,269,18,21
269,270,18,29
270,271,18,39
271,272,18,49
272,273,18,56
273,274,18,67
274,275,18,79
275,276,18,90
276,277,18,103
277,278,19,4
278,279,19,18
279,280,19,32
280,281,19,46
281,282,19,59
282,283,19,73
283,284,19,88
284,285,20,7
285,286,20,26
286,287,20,47
287,288,20,61
288,289,20,73
289,290,20,85
290,291,20,96
291,292,20,111
292,293,20,123
293,294,20,134
294,295,21,9
295,296,21,24
296,297,21,36
297,298,21,47
298,299,21,62
299,300,21,76
300,301,21,87
301,302,21,99
302,303,22,1
303,304,22,8
304,305,22,17
305,306,22,26
306,307,22,35
307,308,22,42
308,309,22,53
309,310,22,63
310,311,22,73
311,312,23,3
312,313,23,19
313,314,23,30
314,315,23,45
315,316,23,62
316,317,23,77
317,318,23,93
318,319,23,110
319,320,24,3
320,321,24,12
321,322,24,22
322,323,24,30
323,324,24,33
324,325,24,39
325,326,24,47
326,327,24,55
327,328,24,61
328,329,24,64
329,330,25,7
330,331,25,19
331,332,25,31
332,333,25,43
333,334,25,57
334,335,25,69
335,336,26,5
336,337,26,24
337,338,26,44
338,339,26,63
339,340,26,88
340,341,26,115
341,342,26,139
342,343,26,164
343,344,26,186
344,345,26,210
345,346,27,2
346,347,27,14
347,348,27,24
348,349,27,37
349,350,27,45
350,351,27,59
351,352,27,68
352,353,27,82
353,354,27,93
354,355,28,9
355,356,28,18
356,357,28,26
357,358,28,33
358,359,28,43
359,360,28,51
360,361,28,61
361,362,28,72
362,363,28,79
363,364,28,88
364,365,29,10
365,366,29,19
366,367,29,28
367,368,29,38
368,369,29,46
369,370,29,56
370,371,29,67
371,372,30,9
372,373,30,21
373,374,30,29
374,375,30,39
375,376,30,48
376,377,30,57
377,378,31,10
378,379,31,17
379,380,31,27
380,381,31,34
381,382,32,11
382,383,32,21
383,384,33,1
384,385,33,9
385,386,33,18
386,387,33,25
387,388,33,33
388,389,33,38
389,390,33,50
390,391,33,53
391,392,33,60
392,393,33,73
393,394,34,7
394,395,34,14
395,396,34,23
396,397,34,33
397,398,34,42
398,399,34,52
399,400,35,6
400,401,35,12
401,402,35,24
402,403,35,34
403,404,35,41
404,405,36,6
405,406,36,20
406,407,36,36
407,408,36,50
408,409,36,67
409,410,36,81
410,411,37,19
411,412,37,44
412,413,37,70
413,414,37,98
414,415,37,120
415,416,37,148
416,417,37,177
417,418,38,10
418,419,38,24
419,420,38,34
420,421,38,51
421,422,38,72
422,423,39,2
423,424,39,8
424,425,39,17
425,426,39,25
426,427,39,38
427,428,39,46
428,429,39,55
429,430,39,67
430,431,39,75
431,432,40,8
432,433,40,18
433,434,40,28
434,435,40,36
435,436,40,46
436,437,40,57
437,438,40,67
438,439,40,78
439,440,41,4
440,441,41,14
441,442,41,23
442,443,41,33
443,444,41,43
444,445,41,50
445,446,42,7
446,447,42,14
447,448,42,21
448,449,42,29
449,450,42,41
450,451,42,50
451,452,43,9
452,453,43,22
453,454,43,33
454,455,43,48
455,456,43,63
456,457,43,78
457,458,44,3
458,459,44,25
459,460,44,47
460,461,45,6
461,462,45,17
462,463,45,25
463,464,45,36
464,465,46,8
465,466,46,15
466,467,46,22
467,468,46,31
468,469,47,3
469,470,47,12
470,471,47,20
471,472,47,31
472,473,48,2
473,474,48,11
474,475,48,17
475,476,48,25
476,477,49,1
477,478,49,8
478,479,49,14
479,480,50,6
480,481,50,22
481,482,50,39
482,483,51,16
483,484,51,36
484,485,51,55
485,486,52,17
486,487,52,35
487,488,53,3
488,489,53,28
489,490,53,46
490,491,54,7
491,492,54,28
492,493,54,50
493,494,55,18
494,495,55,41
495,496,55,67
496,497,56,14
497,498,56,47
498,499,56,72
499,500,57,1
500,501,57,10
501,502,57,16
502,503,57,22
503,504,57,29
504,505,58,6
505,506,58,11
506,507,58,19
507,508,59,2
508,509,59,9
509,510,59,16
510,511,60,1
511,512,60,6
512,513,60,11
513,514,61,5
514,515,61,14
515,516,62,7
516,517,63,3
517,518,63,11
518,519,64,9
519,520,65,1
520,521,65,5
521,522,65,12
522,523,66,6
523,524,66,12
524,525,67,11
525,526,67,24
526,527,68,10
527,528,68,36
528,529,69,1
529,530,69,19
530,531,69,49
531,532,70,22
532,533,70,43
533,534,71,13
534,535,72,1
535,536,72,14
536,537,73,1
537,538,73,19
538,539,74,14
539,540,74,40
540,541,75,9
541,542,75,40
542,543,76,14
543,544,76,31
544,545,77,29
545,546,78,3
546,547,78,37
547,548,79,19
548,549,80,1
549,550,80,37
550,551,81,24
551,552,83,1
552,553,83,25
553,554,84,10
554,555,85,9
555,556,86,12
556,557,88,1
557,558,89,4
558,559,90,1
559,560,91,3
560,561,92,18
561,562,95,1
562,563,96,15
563,564,98,5
564,565,100,3
565,566,102,5
566,567,105,2
567,568,108,1
568,569,111,5
